,description
0,1792 Port Finish Bourbon - After just reviewing a port-finished bourbon I turn now to one of the (very few) other port-finished American whiskies the newly-released 1792 Port Finish bourbon (note that the bottle label and website has dropped the “Ridgemont Reserve” and the branding seems to be focusing on the “1792” part of the name). The same bourbon that goes into 1792 Small-Batch is aged for an additional 2 years in port wine barrels and then bottled at the odd choice of 44.45% ABV. The extra aging means a price premium so expect to shell out an additional $10 or so. That turns the very budget-friendly 1792 into a bit of a splurge for a bourbon.Nose Grape juice and grape jam on a bed of sweet corn and caramel. Quite sweet. After a rest in the glass a tart top note – like cranberry – creeps in.Palate A tad hot for ~44%. Grape Jolly Ranchers™ caramel-dipped apples and a slightly charcoal-flecked and dry bourbon profile.Finish Short. Oaky but not tannic. Echoes of sweet grape jam and semisweet chocolate. Fades quickly.With Water Water brings a little more nose tickle to the aroma without revealing anything new. The palate is a little softer. I suggest adding a touch of water and then letting it rest in the glass for a few minutes to reawaken the aroma.Overall Not quite as supple and polished as Angel’s Envy (the only other port-finished bourbon I’ve had) but successful in its own right. It takes a semi-robust dry bourbon and balances it nicely against a fruit-forward juicy sweet port. A win and well-priced but the port flavor disappears when used in cocktails which means this should be relegated to sipping or perhaps taken over ice. For cocktails stick to the basic 1792 Small Batch.
1,1792 Ridgemont Reserve Bourbon - I’m on a quest you see. Like Don Quixote I am on a mission to make the world a better place by pitting my “impressive” (insert sarcasm) tasting skills against a sea of bottom-shelf booze to deliver quality to beleaguered peasants (that’s you) whose pockets have been picked by $200 Macallan 18 and $120 limited edition bourbon. To that end I tilt windmills like Old Fitz and Old Forester (why are bourbon brands always old?) to bring you gems like this one.1792 Ridgemont Reserve is the highfalutin’ name (in a similarly highfalutin’ bottle) for the West Coast US’s version of the acclaimed value brand Very Old Barton Bottled-in-Bond affectionately known as “VOB BIB” and only available on the vaguely Eastern half of the US. 1792 Ridgemont Reserve is the same mashbill as VOB but aged 2 extra years and bottled at a slightly lower proof (VOB is 100 proof). Since I cannot get and have never tasted VOB this will have to do.This bottling from the Barton distillery in Bardstown Kentucky is named after the year Kentucky became a state. The Barton distillery is owned by Sazerac (Buffalo Trace) but only produces a few brands most of which stays out East. It’s around eight years old (it used to have an age statement which was dropped in 2013) and comes from a high-rye recipe.Bottle note despite the awkward shape of the bottle I really like the woven “scarf” around the neck – it makes it so easy to pour.Nose Salted caramels. Nougat. Mild oak lightly sweet. Hint of acetone. Not exactly a “study it over the course of an evening” type of aroma but simple and sweet.Palate Silky medium-bodied. Oaky up front and a bit hot at first. Then nougat-y taffy and rich corn. The corn here is syrupy and round and not plastic or industrial.Finish Medium-long. Nut skins light caramel fading with a bit of charcoal. Not bitter.With Water A splash of water adds a vegetal note to the nose – like raw green split firewood. It utterly removes the tongue burn but at the expense of some flavor. Water (or ice) is optional with this one when drinking straight up.Overall I wouldn’t exactly buy a bottle of this for exclusive sipping. However it makes a graceful easygoing dram AND a top-notch cocktail which makes it the golden intersection of value bourbon for me. It has none of the aspects of cheap bourbon that always put me off – the over-oaked bitterness the rough high-octane grainy alcohol the acetone (well maybe a bit) or the fake-candy high-fructose corn syrup flavor. It’s just straightforward sweet silky and mixes flawlessly into an Old Fashioned or a bourbon Manhattan. Alas it’s more expensive than VOB so it doesn’t win any “value” awards. If you can get VOB leave this one in the dust. If you can’t 1792 Ridgemont Reserve is an acceptable substitute.
2,8 Seconds (Sec8nds) Canadian Whisky - Glutton for punishment that I am I continued down the unforgiving road of blended Canadian whisky with another product aimed at the apparently whisky-starved rodeo market. “8 Seconds” (although the bottle label had me trying to pronounce “Sec8nds” for longer than I’m comfortable admitting) is the younger sibling of the 8 year-old “8 Seconds Black”. Like Pendleton the website is rife with scenes from cowboy bars rodeo imagery and cowboy hats. The whisky? Apparently it’s aged in oak barrels blended in “small batches” and has developed “elegant nuances” of what they don’t specify. But never mind that we have pictures of hot girls on mechanical bulls!Also the bottle is very pretty.Nose Sweet. Soft melty buttery caramel. And… yeah that’s it.Palate Soft texture. Thankfully not ultra-sweet although the overall impression is of cake-y baked goods. German chocolate cake frosting?Finish Short. Brown sugar melting away to reveal a core of pretty young grassy grain whisky. Ends with straight vodka notes.With Water Dampens the aroma. No effect on the palate maybe turns up the vegetal notes on the finish.Overall This is the first “blended Canadian whisky” that I’ve had (ever) that doesn’t make me want to wash my mouth out. That said it desperately calls for ice and a bitter or acidic ingredient to balance the inherent sweetness. I would wager that if you wanted to make a cocktail that called for Crown Royal you’d be slightly better off using this. I wouldn’t bother to drink it straight though especially with that vodka finish. Even so it’s better than direct competitor Pendleton in my book. I’m now curious about the “Black” label from 8 Seconds.
3,A.D. Rattray: Craigellachie (8 year) - The third in my brief series on A.D. Rattray bottlings of little-known but active distilleries. (See Glen Ord and Macduff reviewed earlier). Like the other two most people have never even heard of Craigellachie (Creg – alla – key). The distillery is now owned by Bacardi and the new owners have begun releasing distillery-labelled bottlings (although I’ve never seen one in the USA). Of the three I liked this one most. It showed complexity and an eclectic personality with Sherry influence present but not overwhelming. Its relative youth served only to brighten flavors. A good example of why older is not always better.Like the previously-reviewed A.D. Rattray malts this is bottled at cask-strength (59.6% ABV) and has no color added or chill-filtration. Go A.D. Rattray!Update The distillery now has an official line of expressions. Here’s a review of the 13-year.Distilled 8/20/2002 Bottled 5/17/2011Nose Anise Lime juice. Not too prickly despite youth. Gold raisins. Marshmallow and loads of vanilla frosting.Palate Soft with good alcohol integration for an 8 year-old. Great soft sugars specifically raw cane and simple syrup. Powdered sugar? Gold raisins.Finish Not too much burn and medium-long. A little wood bitterness on the tail end the only noticeable flaw.With Water The addition of water dulls the bright flavors a bit too much for me. I’d skip the water.Overall Nicely complex. This whisky does not toe the line of Speyside style instead branching out in eclectic ways. Raw cane? Anise and lime juice? I would not have pegged this as a sherried Speysider. Very interesting although the novelty might wear off after paying $66 for a full bottle. Certainly worth trying especially if you’d like to cross another distillery off of your bucket list.
4,A.D. Rattray: Glen Ord (12 year) - Glen what? One of the little-known intricacies of scotch whisky is that not all distilleries are created equal. Ask anyone on the street to name some single-malts and they’ll likely come up with Glenfiddich and Glenlivet and maybe The Macallan. Glen Ord? Not likely. The reason generally is that a large amount of the malt whisky produced in Scotland goes directly into blends. In fact up until the single-malt renaissance of the last few decades Scottish malt whisky was produced solely for the purpose of blending. Only occasionally did unblended malt end up on the shelves of independent bottlers and grocers and even then it was often labelled with the bottler’s brand not the distillery. The same is still true today of some malts which are kept running exclusively for the purpose of feeding the huge demand for Scottish brands of blended whisky.Glen Ord a northern Highland distillery owned by Diageo finds itself mostly used for the Dewar’s blend. Its middle-of-the-road highland style of vanilla bakery sweets and soft wood make it a perfect candidate for successful blending. Diageo does now release some Glen Ord as a single in its “Hidden Malts” line and some is available from independent bottlers. I was able to taste an A.D. Rattray bourbon-cask release of 12 year-old Glen Ord at a recent K&L spirits tasting in Redwood City CA. It was bottled at cask strength (60.1% ABV) with no coloring or chill-filtration. Just the way I like ’em.Distilled 03/17/1998 Bottled 10/30/2010 Cask #24Nose Unctuous layers of vanilla white cake batter vanilla frosting white peach and pale soft wood. Very inoffensive and clean.Palate More of the same. Light and sweet. Not fruity at all but reminiscent of angel’s food cake sugar cookies and white tea.Finish Almond marzipan… suddenly VERY nutty! Cashew butter? Unexpected nuttiness. Medium-long.Overall I don’t really consider mild 12 year-old Highlanders without complexity to be worth $60 a bottle so I can’t say I would shell out for this. However there are exactly zero flaws in the presentation here and if you’re trying to check every distillery off your list this one may be worth seeking out. Also it’s surprising how easy-drinking it is even at cask-strength 60.1% ABV.
5,A.D. Rattray: Macduff (10 year) - Like the A.D. Rattray bottling of Glen Ord reviewed earlier Macduff is another barely-known distillery operating largely to provide whisky for blending. In this case the William Lawson’s blend. Independent bottlers serve the whisky lover by providing access to rare or rarely-released whisky which can be both a blessing and a curse. Without a “standard” expression these are usually single-casks chosen and aged by the bottler. This means they can vary widely in quality and require the buyer to rely on the bottler’s reputation.This bottle a sherry-finished expression of Speysider Macduff at 10 years of age uses craft presentation (cask-strength at 59.8% ABV without added color or chill-filtration). Distilled 11/15/2000 Bottled 04/05/2011Nose Pine. Vanilla butterscotch. Where’s the sherry?Palate Tongue burn is a little rough like a younger malt. Touches of grape skins and then light sherry (a little like watered-down red wine). Youngish bright red fruits. A little nutty plum pits?Finish Somewhat continues the burn. Not very smooth. Echoes of palate notes leaving an impression of sugared plums and tannin from grape skins.With Water A little more bitterness develops on the finish. Lemon peel red berries on the tongue. The body becomes a little meaty which is nicer. Try it with water.Overall Not a great introduction to Macduff. It’s hard to say if the few unpleasant notes were a result of cask choice or simply reflect the distillery style. If I had spent $66 on a bottle of this I might be disappointed. At least it’s cask strength and craft presentation.
6,Aberlour (10 year) - While at C.B. Hannegan’s in Los Gatos CA (GREAT Single-Malt selection) I tried a glass of the Aberlour 10 year. I have had a great deal of the distillery’s A’Bunadh expression which is a vatting of Aberlour whiskies from a range of ages (10 to 15 years) and bottled at cask strength (a whopping ~60% ABV). I wanted to see how the distillery’s 10-year bottle-strength (40% ABV) expression compared.Update Read a new review of the Aberlour 12 year here.Color OrangeNose Sherry orange peel tangerine sherbet.The palate is very similar to the A’Bunadh heavy on the sherry a little oak some cherry and citrus not nearly as much burn developing with more fruit on the tongue.Really long finish mostly sherry but also raspberry and hops.Overall I like this dram and would have wanted a bottle… except that this one doesn’t stand out against an array of similar sherried Speysiders. I feel there are more expressive whiskies in this price range from Speyside (The Macallan for example) and since the A’Bunadh gives all of these flavors and more I can’t see a spot on my shelf for it. Unfortunately for me the 10-year doesn’t stand up to its cask-strength older brother even with the price difference.
7,Aberlour (12 year) - Ten full years ago I reviewed Aberlour 10-year on this blog as one of my first posts. Amazing how time flies. My ‘review’ was about 2 sentences long the bar that I bought the dram at doesn’t exist any more and Aberlour 10 is no longer available in the US (although it is available in the UK). Also I referred to its color as “orange”. Yikes.I found a nice deal on the 12 year recently and thought I’d give Aberlour another shot to prove to me that it’s not only good for a’bunadh. (Would that really be so bad?) This a “double-cask matured” single malt is basically their answer for the now nearly-ubiquitous trend of thinning out your expensive sherried whisky with some not-quite-as-expensive ex-bourbon whisky as pioneered by The Balvenie DoubleWood line. That makes it sound more cynical than it is ex-bourbon casks can lend buttery caramel notes and a wider array of flavors to balance out the effects of a wine cask.This Aberlour is aged in two separate cask types “Traditional Oak” which is a funny way of saying ex-bourbon American Oak casks and ex-Sherry casks. These are aged for 12 years and then married together in undisclosed proportions before bottling at the legal minimum 40% ABV. Interestingly every expression in Aberlour’s official lineup is now labelled as a “Double Cask” whisky with the exception of a’bunadh. This may be their way of dealing with the expanding crisis of the Sherry barrel shortage in the whisky industry. Also the website subtly refers to the sherry casks as “seasoned” which usually means they are filled with sherry or a sherry-like wine and aged for short periods with the throwaway wine before being used to age whisky. To read more check out Westland distillery’s thoughts on the current market for sherry casks.Nose Fruity with a ton of red grapefruit cape gooseberry kiwi and decadent refined honey. Very floral as well with a heady cloud of lemon verbena and honeysuckle. All of the fruits seem fresh and tart as opposed to the usual Aberlour dark red and black fruits. This is downright summery.Palate Syrupy body. Honey again with almost no tongue burn at all. Dried apricots and golden figs replace the tart fruits from the aroma. There is a faint layer of oakiness mostly with notes of cinnamon and vanilla.Finish Medium-short. The finish is a little muddled. The fruit notes are not clear and the spicy oak notes are now marred with slightly acrid bitterness. Ends somewhat quickly without evolving. This situation improves with further sips which build up a little more sweetness to balance the bitterness.With Water A few drops of water mix up the fruits and flowers on the aroma – making them harder to place. The palate seems thinner but the finish has more fruit. I would probably skip the water since I liked the aroma so much in the first place.Overall Despite the low ABV I would not call this watery or lacking in potency. The aroma is lovely and deeply perfumed the palate competent and well-composed but the finish is an outright disappointment. That said the price is dead on and I don’t feel like the 40% ABV is unduly low in this case. I do think Balvenie DoubleWood 12 edges this one out in terms of polish and overall delivery but if the Aberlour is significantly cheaper in your area then it’s probably a better buy.If we treat this as an entry-level malt and assume an entry-level price then this is a solid ‘Recommended’. Just don’t expect to be wowed beyond the aroma.
8,Aberlour A’Bunadh (Batch 29) - A’Bunadh means “Of the Origin” in Gaelic. It is bottled at cask strength from a vatting (mixture) of Aberlour malts from varying ages (10 to 15 years old). These are all aged in barrels that once held oloroso sherry. Each bottling run (indicated by a batch number on the bottle) will have slightly different alcohol by volume ranging from 59.3% to 60.9%. Each batch will also vary in flavor according to the whims of the whiskymaker and the individual characteristics of the source casks. An unsubstantiated rumor holds that a hidden bottle of Aberlour whisky from 1898 was discovered during construction in the still room that the workmen drank a majority of it and that A’Bunadh is an attempt by the distillery to re-create the flavor and texture of that historic malt.(My bottle is from Batch Number 29 bottled in 2010 59.9% ABV)Color Mahogany The aroma is sweet and syrupy like brown sugar cookies baking. Nose-burning alcohol and a twinge of cherry or cherry-wood. Strongly perfumed rose pollen. Acetone.The attack is fiery unyielding. The body is syrupy and rich coating your mouth like napalm. As it resolves on your palate though it opens up with fruit and oak rich plum red apple caramel treacle toffee and red pepper. Intense and intensely flavorful.The finish is long and caramelly hints of candy apple and molasses. It heats your throat and warms your belly. It also tenaciously clings to the inside of your cheeks and continues to smolder. This is a whisky to conquer.Adding a dash of water does not reveal anything new in the aroma to me nor does it tame any of the fire. If you’re going to tackle this one tackle it neat.
9,Aberlour A’Bunadh (Batch 30) - (My bottle is from Batch Number 30 at 59.8% ABV)Color Mahogany Nose Heady aroma. Blackberry syrup. Definite sherry character with overtones of antique wood sap stewed dark fruits maple sugar candies and a hint of candied orange peel or orange liqueur.Body Full and mouth-coating but not oily. That cask-strength mouth-puckering burn is in full force.Palate Packed with those dark jammy stewed fruits. Blackberry jelly on buttered scones. Black cherry-flavored salt-water taffy.Finish The oak comes on strong tannins and dark red grape skins. The finish is long evolving into lighter sherry and rose wine notes some strawberry and finally some clove and allspice.Adding a little water doesn’t open up anything floral – the sherry likely overwhelms anything so subtle. It does seem to wreck the fullness of the body and I don’t get anything new from the flavor. Note If you dilute it down to approximately 40% ABV it gets downright dull No fruits no spices a little sherry and some malt alcohol. Don’t do it.While the batch characteristics are slightly different from the previous batch 29 with more jammy fruit notes a bigger oak influence and a lighter sherry intensity the quality remains at the same high level and I continue to recommend this product highly. It also seems (or is it just me?) to be a little cheaper on the shelf than the 29?
