,id,description
0,1792 Port Finish Bourbon ,"[': Grape juice and grape jam, on a bed of sweet corn and caramel. Quite sweet. After a rest in the glass, a tart top note – like cranberry – creeps in.', ': A tad hot for ~44%. ', ': Short. Oaky, but not tannic. Echoes of sweet grape jam and semisweet chocolate. Fades quickly.', ': Water brings a little more nose tickle to the aroma, without revealing anything new. The palate is a little softer. I suggest adding a touch of water and then letting it rest in the glass for a few minutes to reawaken the aroma.', ': Not quite as supple and polished as ']"
1,1792 Ridgemont Reserve Bourbon ,"[': Salted caramels. Nougat. Mild oak, lightly sweet. Hint of acetone. Not exactly a “study it over the course of an evening” type of aroma, but simple and sweet.', ': Silky, medium-bodied. Oaky up front, and a bit hot at first. Then, nougat-y taffy and rich corn. The corn here is syrupy and round, and not plastic or industrial.', ': Medium-long. Nut skins, light caramel, fading with a bit of charcoal. Not bitter.', ': A splash of water adds a vegetal note to the nose – like raw green split firewood. It utterly removes the tongue burn, but at the expense of some flavor. Water (or ice) is optional with this one, when drinking straight up.', ': I wouldn’t exactly buy a bottle of this for exclusive sipping. However, it makes a graceful, easygoing dram AND a top-notch cocktail, which makes it the golden intersection of value bourbon for me. It has none of the aspects of cheap bourbon that always put me off – the over-oaked bitterness, the rough, high-octane grainy alcohol, the acetone (well maybe a bit), or the fake-candy high-fructose corn syrup flavor. It’s just straightforward, sweet, silky, and mixes flawlessly into an Old Fashioned or a bourbon Manhattan. Alas, it’s more expensive than VOB so it doesn’t win any “value” awards. If you can get VOB, leave this one in the dust. If you can’t, 1792 Ridgemont Reserve is an acceptable substitute.']"
2,8 Seconds (Sec8nds) Canadian Whisky ,"[': Sweet. Soft, melty, buttery caramel. And… yeah that’s it.', ': Soft texture. Thankfully not ultra-sweet, although the overall impression is of cake-y baked goods. German chocolate cake frosting?', ': Short. Brown sugar melting away to reveal a core of pretty young, grassy grain whisky. Ends with straight vodka notes.', ': Dampens the aroma. No effect on the palate, maybe turns up the vegetal notes on the finish.', ': This is the first “blended Canadian whisky” that I’ve had (ever) that doesn’t make me want to wash my mouth out. That said, it desperately calls for ice and a bitter or acidic ingredient to balance the inherent sweetness. I would wager that if you wanted to make a cocktail that called for ']"
3,A.D. Rattray: Craigellachie (8 year) ,[]
4,A.D. Rattray: Glen Ord (12 year) ,[]
5,A.D. Rattray: Macduff (10 year) ,[]
6,Aberlour (10 year) ,[]
7,Aberlour (12 year) ,"[': Fruity with a ton of red grapefruit, cape gooseberry, kiwi, and decadent refined honey. Very floral as well, with a heady cloud of lemon verbena and honeysuckle. All of the fruits seem fresh and tart as opposed to the usual Aberlour dark red and black fruits. This is downright summery.', ': Syrupy body. Honey again, with almost no tongue burn at all. Dried apricots and golden figs replace the tart fruits from the aroma. There is a faint layer of oakiness, mostly with notes of cinnamon and vanilla.', ': Medium-short. The finish is a little muddled. The fruit notes are not clear, and the spicy oak notes are now marred with slightly acrid bitterness. Ends somewhat quickly, without evolving. This situation improves with further sips, which build up a little more sweetness to balance the bitterness.', ': A few drops of water mix up the fruits and flowers on the aroma – making them harder to place. The palate seems thinner, but the finish has more fruit. I would probably skip the water, since I liked the aroma so much in the first place.', ': Despite the low ABV, I would not call this watery or lacking in potency. The aroma is lovely and deeply perfumed, the palate competent and well-composed, but the finish is an outright disappointment. That said, the price is dead on and I don’t feel like the 40% ABV is unduly low in this case. I do think ']"
8,Aberlour A’Bunadh (Batch 29) ,[]
9,Aberlour A’Bunadh (Batch 30) ,[]
